GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	OBSERVATION COUNT	BREEDING BIRD ATLAS CODE	BREEDING BIRD ATLAS CATEGORY	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS810690827	2019-09-28 18:52:09	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Acre	BR-AC							Rio Purus - Manoel Urbano	L4835749	H	-8.9462192	-69.3932533	2019-09-26	08:56:00	obsr601274	S60191485	Incidental	P20	EBIRD				4	0		0	1	0		Viagem de voadeira da SEMA rumo ao PE Chandless. Com Ricardo Placido, Silvia Linhares, Robson Czaban. Piloto Mandi e Walfredo. Chuva no caminho que nos ateasou 2 horas. Muito vento. Mas o rio Purus ainda baixo		
URN:CornellLabOfOrnithology:EBIRD:OBS519527211	2017-07-18 06:41:53	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Ditch (which no longer exists)	L6088922	P	-3.0772797	-60.0138246	1985-12-03		obsr290902	S38199955	Historical	P62	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516479771	2017-07-05 13:36:46	23051	species	Purple Martin	Progne subis			12				Brazil	BR	Amazonas	BR-AM							Praia Dourada	L6056606	P	-3.0156841	-60.0935948	1986-01-16		obsr290902	S37985370	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516443438	2018-09-07 00:55:51	23051	species	Purple Martin	Progne subis			4				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1986-01-05		obsr290902	S37982659	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516520623	2017-07-05 16:47:29	23051	species	Purple Martin	Progne subis			5				Brazil	BR	Amazonas	BR-AM							Lago Janauari	L2410117	H	-3.2111163	-60.0309062	1986-01-18		obsr290902	S37988237	Historical	P62	EBIRD				8	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS516496804	2017-07-05 14:51:02	23051	species	Purple Martin	Progne subis			15				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1986-01-17		obsr290902	S37986508	Historical	P62	EBIRD				4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511076030	2019-01-02 18:55:57	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Careiro da Várzea	L5878197	H	-3.2649476	-59.8540735	1988-08-21		obsr290902	S37590347	Historical	P62	EBIRD				4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511059166	2017-06-14 14:06:32	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Manaus--INPA Bosque da Ciência	L2872056	H	-3.0972713	-59.9864540	1988-08-18		obsr290902	S37589066	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS511064400	2017-06-14 15:19:09	23051	species	Purple Martin	Progne subis			10				Brazil	BR	Amazonas	BR-AM							Lago Janauari	L2410117	H	-3.2111163	-60.0309062	1988-08-19		obsr290902	S37589442	Historical	P62	EBIRD				2	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS638183931	2019-10-05 22:07:11	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							BRAZIL Manaus & vicinity	L7085206	P	-3.0847870	-60.0062084	1989-02-08	08:30:00	obsr248326	S47074787	Historical	P62	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS596396192	2018-04-13 14:22:44	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							BR-AM / Manaus Region	L7180421	P	-3.1307032	-60.0201988	1991-08-01		obsr237658	S44309246	Historical	P62	EBIRD_TX					1		0	1	0		Only includes birds marked as having been seen in my bird guide book (but not on valid recent lists) for my Amazonas list; birds seen in Manaus region during July-1983-June-1985 / July 1988-Aug 1991. Mainly Parque Dez, Refinery area but trips out to Lago Januari, Manacaparu, Tropical Hotel, Taruma, President Figueiredo, South of Solimoes river, Manaquiri.	large congregations in Nov/Dec around Petrobras refinery	
URN:CornellLabOfOrnithology:EBIRD:OBS581827788	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	1993-11-03	05:00:00	obsr355303	S43160373	Traveling	P22	EBIRD	360	60.000		3	1		0	1	0		Together with Andrew Whittaker and Peter Willmann (wheelchair bound) we birded the islands from a boat. MAMMALS: Black Spider Monkey.		
URN:CornellLabOfOrnithology:EBIRD:OBS332850211	2019-09-29 12:11:59	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Reserva Florestal Adolpho Ducke	L3830134	H	-2.9300332	-59.9754810	1995-09-28	06:00:00	obsr177985	S24344973	Traveling	P22	EBIRD	600	8.000		3	1		0	1	0		We( Luc Fazio with Dan & Roberta Salisbury,were lucky to find accommodation/camping in the reserve( where Luc improvised some spaghetti meals and bread breakfasts) and could go to Ducke Tower Early am and late pm. then birded the trails and did some night birding at our pleasure!!		
URN:CornellLabOfOrnithology:EBIRD:OBS97633707	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	1998-10-23	13:00:00	obsr132232	S6829008	Traveling	P22	EBIRD	360	32.186		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS136757697	2018-09-07 01:15:00	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rondonia, Porto Velho, North side of Rio Madieros	L1383894	P	-8.1827034	-63.8616701	2002-10-05		obsr235798	S9634795	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS101683920	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2002-11-05		obsr135954	S7130692	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS135837939	2018-08-22 10:51:08	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Amazonas, Iracema Falls Hotel	L1371893	P	-2.0264043	-60.0867176	2003-04-06		obsr235798	S9559839	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS135837857	2019-08-19 11:48:22	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Amazonas, Iracema Falls Hotel	L1371893	P	-2.0264043	-60.0867176	2003-04-05		obsr235798	S9559838	Incidental	P20	EBIRD				1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS283115502	2016-01-16 13:19:46	23051	species	Purple Martin	Progne subis			1200				Brazil	BR	Amazonas	BR-AM							Rio Amazonas: Rio Madeira to Manaus	L3185152	P	-3.1784070	-59.3385315	2003-08-02	05:00:00	obsr412831	S20717205	Historical	P62	EBIRD	840			20	1		0	1	1		On river (in flood), by boat with trip into flooded forest on smaller boats.	Large flocks of early migrants.  Careful count/estimate.	
URN:CornellLabOfOrnithology:EBIRD:OBS528830667	2019-10-09 11:39:14	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Manaus--Hotel Tropical	L2872043	H	-3.0627953	-60.1079071	2004-08-06		obsr425850	S38903649	Historical	P62	EBIRD				14	1		0	1	0		Field Guides 2004 Brazil's Western Frontier:  Mamiraua & the Rio Javari tour guided by Bret Whitney & Dave Stejskal.  Birded grounds of Hotel Tropical in a.m.		
URN:CornellLabOfOrnithology:EBIRD:OBS530538563	2017-09-05 22:17:43	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Dimona	L5323258	P	-2.3385600	-60.1019500	2009-06-23	05:00:00	obsr118494	S39025961	Historical	P62	EBIRD	780			7	1	G2620139	0	1	0		Observadors: PS, EJ, KM, LP, JAQ,Marconi, JL. Datasheet covers 23-June to 25-June. Birds recorded as other on 2303/2206 list. Cuxiu, guariba, sauim, prego.		
URN:CornellLabOfOrnithology:EBIRD:OBS643197239	2018-07-26 11:42:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Dimona	L5323258	P	-2.3385600	-60.1019500	2009-06-23	05:00:00	obsr35292	S47459238	Historical	P62	EBIRD	780			7	1	G2620139	0	1	0		Observadors: PS, EJ, KM, LP, JAQ,Marconi, JL. Datasheet covers 23-June to 25-June. Birds recorded as other on 2303/2206 list. Cuxiu, guariba, sauim, prego.		
URN:CornellLabOfOrnithology:EBIRD:OBS530439976	2017-09-05 22:17:42	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Dimona	L5323258	P	-2.3385600	-60.1019500	2009-06-23	05:00:00	obsr888648	S39018790	Historical	P62	EBIRD	780			7	1	G2620139	0	1	0		Observadors: PS, EJ, KM, LP, JAQ,Marconi, JL. Datasheet covers 23-June to 25-June. Birds recorded as other on 2303/2206 list. Cuxiu, guariba, sauim, prego.		
URN:CornellLabOfOrnithology:EBIRD:OBS537113175	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2009-10-05		obsr963746	S39477700	Historical	P62	EBIRD					1	G2660029	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS530640619	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2009-10-05		obsr158486	S39033711	Historical	P62	EBIRD					1	G2660029	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS104055427	2016-02-23 11:09:05	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Lago Acará	L1050221	P	-3.6400000	-62.3872222	2010-01-01	06:00:00	obsr115147	S7317759	Incidental	P20	EBIRD				3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS660290514	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2010-02-28		obsr242561	S48729543	Historical	P62	EBIRD_CAN				3	1		0	1	0		Day 9 of an 11-day Quest Nature Tours trip in the Brazilian Amazon region on a small boat, the M/V Turcano.  On this day we made several excursions in a small launch, visited the boat-building village of Novo Airao, then travelled downstream.  Our small group included three keen birders - John Allan, Dave Euler (tour leader) and Bryan Wyatt.		
URN:CornellLabOfOrnithology:EBIRD:OBS656318001	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2010-02-22		obsr242561	S48446171	Historical	P62	EBIRD_CAN				3	1		0	1	0		Day 3 of a 11-day Quest Nature Tours trip to the Brazilian Amazon region on a small boat, the M/V Tucano.  We spent this day proceeding upstream, through the Anavilhanas Archipeligo, on the Rio Negro exploring the edge of the rainforest along the river from a launch.  Our small tour group included three keen birders - John Allan, David Euler (tour leader) and myself.		
URN:CornellLabOfOrnithology:EBIRD:OBS656339949	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2010-02-23		obsr242561	S48447774	Historical	P62	EBIRD_CAN				3	1		0	1	0		Day 4 of a 11-day Quest Nature Tours trip to the Brazilian Amazon region on a small boat, the M/V Tucano.  We spent this day proceeding upstream on the Rio Negro exploring the edge of the rainforest along the river and walking on forest trails.  Our small tour group included three keen birders - John Allan, David Euler (tour leader) and myself.		
URN:CornellLabOfOrnithology:EBIRD:OBS656268346	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2010-02-21		obsr242561	S48442638	Historical	P62	EBIRD_CAN				3	1		0	1	0		Day 2 of a 11-day Quest Nature Tours trip to the Brazilian Amazon region on a small boat, the M/V Tucano.  We left the Hotel Tropical, then spent the day on the Rio Negro travelling through the world’s largest river island system, the Anavilhands Archipelago.  In the late afternoon a small launch was used to access a small stream.  Our small group included three keen birders - John Allan, David Euler (tour leader) and myself.		
URN:CornellLabOfOrnithology:EBIRD:OBS127040773	2016-02-28 15:39:40	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Solimoes and Rio Amazonas: while steaming on river	L1282212	P	-3.1724881	-59.8984909	2011-09-21		obsr17450	S8875840	Incidental	P20	EBIRD				1	1		0	1	0			many	
URN:CornellLabOfOrnithology:EBIRD:OBS127040832	2016-01-06 11:10:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Amazonas: steaming back to Manaus	L1282209	P	-3.1701799	-59.4779205	2011-09-22		obsr17450	S8875842	Incidental	P20	EBIRD				1	1		0	1	0			several	
URN:CornellLabOfOrnithology:EBIRD:OBS459367701	2019-01-11 08:01:21	23051	species	Purple Martin	Progne subis			4				Brazil	BR	Amazonas	BR-AM							PN Jaú	L5286218	H	-1.8185870	-61.4983320	2012-09-23		obsr178480	S33834804	Historical	P62	EBIRD				10	1		0	1	0		Entrance and Nazare Trail am , boat trip pm , chavascal		
URN:CornellLabOfOrnithology:EBIRD:OBS459862997	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2012-09-26		obsr178480	S33891984	Historical	P62	EBIRD				10	1		0	1	0		Varzea , mouth of Rio Solimoes		
URN:CornellLabOfOrnithology:EBIRD:OBS459943512	2017-01-23 21:19:53	23051	species	Purple Martin	Progne subis			6				Brazil	BR	Amazonas	BR-AM							Rio Madeira--Machado Island	L1282207	H	-3.3906089	-58.8175392	2012-09-27		obsr178480	S33898014	Historical	P62	EBIRD				10	1		0	1	0		Includes Buffao Island		
URN:CornellLabOfOrnithology:EBIRD:OBS477928995	2017-03-23 15:31:14	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Manaus--Hotel Tropical	L2872043	H	-3.0627953	-60.1079071	2013-07-20		obsr636930	S35376638	Incidental	P20	EBIRD				1	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS592196380	2018-08-08 18:10:16	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Ariaú	L5135938	H	-3.1118767	-60.4231224	2013-07-27		obsr1734	S43992059	Historical	P62	EBIRD				5	0		0	1	0		Ariau River- owling		
URN:CornellLabOfOrnithology:EBIRD:OBS592195160	2018-07-31 08:18:14	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Manaus--Hotel Tropical	L2872043	H	-3.0627953	-60.1079071	2013-07-20		obsr1734	S43991975	Historical	P62	EBIRD				5	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS344920219	2016-01-06 11:11:22	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ariaú Amazon Towers Hotel	L1526746	H	-3.0908936	-60.4405117	2013-09-01	07:00:00	obsr360030	S25210718	Traveling	P22	EBIRD	480	6.000		6	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS454609451	2018-09-07 01:58:58	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Região de Autazes, Baixo Madeira	L5224018	P	-3.5085379	-58.9737082	2013-10-23		obsr620877	S33457970	Historical	P62	EBIRD					1		0	1	0		23 de outubro e 05 de novembro de 2013		
URN:CornellLabOfOrnithology:EBIRD:OBS222417903	2016-02-23 09:51:46	23051	species	Purple Martin	Progne subis			400				Brazil	BR	Amazonas	BR-AM							10 k south of Novo Airao	L2480502	P	-2.6794225	-60.9424187	2013-12-18	06:00:00	obsr171315	S16058336	Traveling	P22	EBIRD	300	10.000		3	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS351893632	2019-08-19 11:49:04	23051	species	Purple Martin	Progne subis			20				Brazil	BR	Amazonas	BR-AM							KM 50, AM-070	L3064814	H	-3.1831280	-60.4419840	2014-02-08	06:30:00	obsr334193	S25723433	Traveling	P22	EBIRD	330	5.000		3	1		0	1	0		Com Vanilce		
URN:CornellLabOfOrnithology:EBIRD:OBS333387059	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-07-23	06:00:00	obsr44754	S24385493	Traveling	P22	EBIRD	300	11.000		10	1	G1355477	0	1	0		NOC-CBO birdind trip		
URN:CornellLabOfOrnithology:EBIRD:OBS333044752	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-07-23	06:00:00	obsr431534	S24359604	Traveling	P22	EBIRD	300	11.000		10	1	G1355477	0	1	0		NOC-CBO birdind trip		
URN:CornellLabOfOrnithology:EBIRD:OBS482694565	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-07-23	08:00:00	obsr670785	S35749424	Historical	P62	EBIRD	300			10	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS333089379	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-07-23	06:00:00	obsr222940	S24363075	Traveling	P22	EBIRD	300	11.000		10	1	G1355477	0	1	0		NOC-CBO birdind trip		
URN:CornellLabOfOrnithology:EBIRD:OBS361546125	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-09-24	05:00:00	obsr293145	S26493305	Traveling	P22	EBIRD	480	16.093		8	1	G1518757	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS345129901	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-09-24	05:45:00	obsr237238	S25159853	Traveling	P22	EBIRD	688	16.093		9	1		0	1	0		VENT birding tour with Andy Whittaker <br />Submitted from eBird for iOS, version 1.1.2 Build 27		
URN:CornellLabOfOrnithology:EBIRD:OBS343797969	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-09-09	06:00:00	obsr422887	S25134965	Traveling	P22	EBIRD	720	16.093		20	1		0	1	0		Sites included Macheteria Island (near Manaus); Praia Amigos do Boto; night canoing to Pagodao		
URN:CornellLabOfOrnithology:EBIRD:OBS343924182	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2015-09-17	06:00:00	obsr422887	S25143354	Traveling	P22	EBIRD	720	32.187		20	1		0	1	0		Location uncertain; my notes not clear		
URN:CornellLabOfOrnithology:EBIRD:OBS361849565	2019-03-06 17:08:13	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Ilha da Marchantaria	L951965	H	-3.2529507	-59.9606323	2015-09-24	05:00:00	obsr174390	S26520003	Traveling	P22	EBIRD	480	16.093		8	1	G1518757	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361718502	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-09-20	07:00:00	obsr174390	S26507226	Traveling	P22	EBIRD	480	16.093		8	1	G1518062	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS361523721	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-09-20	07:00:00	obsr293145	S26490203	Traveling	P22	EBIRD	480	16.093		8	1	G1518062	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS343793224	2016-01-06 11:10:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Madeira--Machado Island	L1282207	H	-3.3906089	-58.8175392	2015-09-08	05:30:00	obsr422887	S25134582	Traveling	P22	EBIRD	780	16.093		20	1		0	1	0		Sites for the day included Buffalo Island at mouth of Rio Madeira; Machado Island (though too flooded); cruised Niracaueira; later afternoon, cruised westward.		
URN:CornellLabOfOrnithology:EBIRD:OBS343749922	2019-01-28 16:54:51	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Rio Negro--acima de Manaus	L901313	H	-2.9018958	-60.5648804	2015-09-07	06:15:00	obsr422887	S25131922	Traveling	P22	EBIRD	720	16.093		20	1		0	1	0		Don't know exact locations until final trip report.		
URN:CornellLabOfOrnithology:EBIRD:OBS343905269	2016-01-06 11:31:22	23051	species	Purple Martin	Progne subis			X				Brazil	BR	Amazonas	BR-AM							Jau River/Ranger's Station	L3923176	P	-1.9069259	-61.4540863	2015-09-14	06:00:00	obsr422887	S25142299	Traveling	P22	EBIRD	720	32.187		20	1		0	1	0		Day included Cachoeira (village) with morning canoeing; Down Rio Jau, past Ranger's Station (leaving Jau National Park); cruising nnw up Rio Negro.		
URN:CornellLabOfOrnithology:EBIRD:OBS350463724	2016-01-06 11:32:46	23051	species	Purple Martin	Progne subis			1			Male, Adult (1)	Brazil	BR	Amazonas	BR-AM							Rio Negro -- Anavilhanas Archipelago	L3979501	P	-2.6873800	-60.7224200	2015-09-20		obsr57052	S25617627	Incidental	P20	EBIRD					0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS343676005	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-09-20	16:15:00	obsr237238	S25126539	Traveling	P22	EBIRD	120	8.047		9	1		0	1	0		<br />Submitted from eBird for iOS, version 1.1.2 Build 27	Migrants	
URN:CornellLabOfOrnithology:EBIRD:OBS378833034	2019-08-19 11:49:38	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-28	05:45:00	obsr412230	S27964428	Traveling	P22	EBIRD_CAN	203	2.000		4	1		0	1	0		with Jan Smith, Chris & Rosemary Lester. Walked south down the BR-319 for roughly 2 kilometres, hoping to find Fiery Topaz (which we did, though "only" a female). Weather overcast and smoky, relatively cool.		
URN:CornellLabOfOrnithology:EBIRD:OBS347828898	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-10-14	05:52:00	obsr412230	S25414022	Traveling	P22	EBIRD_CAN	300	20.000		5	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS413640695	2019-01-13 19:48:00	23051	species	Purple Martin	Progne subis			12				Brazil	BR	Amazonas	BR-AM							Novo Airão--Ramal dos Bons Amigos (KM 13)	L2407728	H	-2.7378100	-60.9426700	2015-10-16	08:20:00	obsr290902	S30353303	Traveling	P22	EBIRD	75	0.800		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS414336749	2017-08-14 21:38:49	23051	species	Purple Martin	Progne subis			3				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-26	05:45:00	obsr290902	S30406920	Traveling	P22	EBIRD	375	4.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS347283782	2018-06-15 18:45:18	23051	species	Purple Martin	Progne subis			25				Brazil	BR	Amazonas	BR-AM							RDS Mamirauá--Pousada Uacarí	L2696884	H	-3.0634102	-64.8494196	2015-10-06	15:42:00	obsr634351	S25377148	Traveling	P22	EBIRD	176	20.000		6	1		0	1	0		Trajeto de canoão para o lago Mamirauá. A chuva atrapalhou um pouco a contagem por cerca de 30 minutos.		
URN:CornellLabOfOrnithology:EBIRD:OBS453927404	2017-01-03 04:00:30	23051	species	Purple Martin	Progne subis			40				Brazil	BR	Amazonas	BR-AM							AM-352 km 65	L5214450	P	-2.8868630	-60.9706770	2015-10-26	16:10:00	obsr305140	S33401394	Historical	P62	EBIRD	70				0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS414069122	2019-08-19 11:49:38	23051	species	Purple Martin	Progne subis			5				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-28	05:45:00	obsr290902	S30387629	Traveling	P22	EBIRD	205	2.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS414429155	2017-08-14 21:38:49	23051	species	Purple Martin	Progne subis			1				Brazil	BR	Amazonas	BR-AM							Tupana Lodge	L2838710	H	-4.0736391	-60.6699666	2015-10-27	16:35:00	obsr290902	S30413660	Traveling	P22	EBIRD	75	1.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS413558999	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			12				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-10-14	05:50:00	obsr290902	S30346914	Traveling	P22	EBIRD	302	9.000		4	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS351473285	2018-12-19 13:12:27	23051	species	Purple Martin	Progne subis			2				Brazil	BR	Amazonas	BR-AM							Novo Airão--Arquipélago de Anavilhanas	L2238269	H	-2.6397012	-60.8785915	2015-10-14	05:52:00	obsr412230	S25689487	Traveling	P22	EBIRD_CAN	300	20.000		5	1		0	1	0		with Rosemary & Chris Lester, Jan Smith, Ceará (piloteiro). Water levels in the archipelago quite low, restricting where we could take the boat but meaning that the islands were easy to walk around in.		
